time     | svc | cur | Δ  | tgt | p99
2026-02-18T11:26:24+00:00,16.41,221.78
2026-02-18T11:26:39+00:00,18.87,236.21
2026-02-18T11:26:54+00:00,20.77,244.5
2026-02-18T11:27:09+00:00,21.32,245.09
2026-02-18T11:27:24+00:00,21.6,245.47
2026-02-18T11:27:39+00:00,22.05,245.98
2026-02-18T11:27:54+00:00,21.76,241.84
2026-02-18T11:28:09+00:00,21.85,238.72
2026-02-18T11:28:24+00:00,21.9,235.02
2026-02-18T11:28:39+00:00,21.99,223.64
2026-02-18T11:28:54+00:00,21.91,223.64
2026-02-18T11:29:09+00:00,22.04,225.06
2026-02-18T11:29:24+00:00,22.14,214.62
2026-02-18T11:29:39+00:00,22.97,230.58
2026-02-18T11:29:54+00:00,23.01,233.39
2026-02-18T11:30:09+00:00,22.74,228.36
2026-02-18T11:30:24+00:00,22.45,243.81
2026-02-18T11:30:39+00:00,22.55,246.65
2026-02-18T11:30:54+00:00,22.49,246.4
2026-02-18T11:31:09+00:00,22.12,244.86
2026-02-18T11:31:24+00:00,21.78,239.25
2026-02-18T11:31:39+00:00,22.98,236.04
2026-02-18T11:31:54+00:00,23.45,246.03
2026-02-18T11:32:09+00:00,24.07,229.33
2026-02-18T11:32:24+00:00,24.24,225.75
2026-02-18T11:32:39+00:00,24.91,226.86
2026-02-18T11:32:54+00:00,26.81,228.99
2026-02-18T11:33:09+00:00,24.93,225.54
2026-02-18T11:33:24+00:00,23.94,236.93
2026-02-18T11:33:39+00:00,23.55,227.02
2026-02-18T11:33:54+00:00,22.8,221.3
2026-02-18T11:34:09+00:00,22.57,299.38
2026-02-18T11:34:24+00:00,22.3,473.78
2026-02-18T11:34:39+00:00,22.78,496.24
2026-02-18T11:34:54+00:00,22.91,735.36
2026-02-18T11:35:09+00:00,23.31,792.97
2026-02-18T11:35:24+00:00,23.62,827.39
2026-02-18T11:35:39+00:00,23.94,844.01
2026-02-18T11:35:54+00:00,24.73,872.5
2026-02-18T11:36:09+00:00,24.86,870.88
2026-02-18T11:36:24+00:00,28.47,893.88
2026-02-18T11:36:39+00:00,31.27,876.35
2026-02-18T11:36:54+00:00,33.49,877.01
2026-02-18T11:37:09+00:00,37.19,892.63
2026-02-18T11:37:24+00:00,37.91,909.36
2026-02-18T11:37:39+00:00,30.44,915.82
2026-02-18T11:37:54+00:00,34.35,919.24
2026-02-18T11:38:09+00:00,31.58,904.04
2026-02-18T11:38:24+00:00,36.08,913.74
2026-02-18T11:38:39+00:00,34.96,908.79
2026-02-18T11:38:54+00:00,36.12,897.84
2026-02-18T11:39:09+00:00,39.35,886.48
2026-02-18T11:39:24+00:00,40.79,871.07
2026-02-18T11:39:39+00:00,38.59,864.99
2026-02-18T11:39:54+00:00,40.38,877.01
2026-02-18T11:40:09+00:00,35.65,874.92
2026-02-18T11:40:24+00:00,34.08,894.45
2026-02-18T11:40:39+00:00,28.24,892.76
2026-02-18T11:40:54+00:00,26.95,894.61
2026-02-18T11:41:09+00:00,24.88,889.17
2026-02-18T11:41:24+00:00,24.92,881.52
2026-02-18T11:41:39+00:00,24.69,878.54
2026-02-18T11:41:54+00:00,24.9,871.16
2026-02-18T11:42:09+00:00,24.87,862.25
2026-02-18T11:42:24+00:00,24.55,846.42
2026-02-18T11:42:39+00:00,23.7,812.45
2026-02-18T11:42:54+00:00,23.12,780.81
2026-02-18T11:43:09+00:00,21.87,734.33
2026-02-18T11:43:24+00:00,19.98,616.71
2026-02-18T11:43:39+00:00,10.88,482.24
2026-02-18T11:43:54+00:00,6.74,138.17
